n,scammer,conversation_days,number_of_conversations,outbounds,inbounds,strategy
1,scammer_1,0.14822916666666666,4, 3, 1,gpt-4-Chat1
2,scammer_3,0.7597106481481481,8, 4, 4,gpt-4-Chat1
3,scammer_4,2.4650810185185184,9, 3, 6,gpt-4-Chat2
4,scammer_6,0.0,2, 1, 1,gpt-4-Chat1
5,scammer_10,1.6659953703703703,3, 2, 1,gpt-4-Chat2
6,scammer_12,0.0,2, 1, 1,gpt-4-Chat2
7,scammer_28,0.01885416666666667,3, 2, 1,gpt-4-Chat2
8,scammer_32,0.030300925925925926,4, 2, 2,gpt-4-Chat2
9,scammer_33,0.0,2, 1, 1,gpt-4-Chat2
10,scammer_35,0.6451157407407407,3, 1, 2,gpt-4-Chat2
11,scammer_43,4.943506944444445,10, 7, 3,gpt-4-Chat1
12,scammer_57,0.0,2, 1, 1,gpt-4-Chat1
13,scammer_59,0.0,2, 1, 1,gpt-4-Chat1
14,scammer_72,2.6625694444444443,7, 2, 5,gpt-4-Chat2
15,scammer_74,0.0,2, 1, 1,gpt-4-Chat2
16,scammer_75,3.0988078703703703,5, 2, 3,gpt-4-Chat2
17,scammer_83,0.0,2, 1, 1,gpt-4-Chat1
18,scammer_84,0.0,2, 1, 1,gpt-4-Chat2
19,scammer_85,0.0,2, 1, 1,gpt-4-Chat2
20,scammer_99,0.0,2, 1, 1,gpt-4-Chat1
21,scammer_100,0.9875231481481481,4, 2, 2,gpt-4-Chat1
22,scammer_108,0.00375,3, 2, 1,gpt-4-Chat2
23,scammer_113,1.0783564814814814,4, 2, 2,gpt-4-Chat1
24,scammer_119,0.0,2, 1, 1,gpt-4-Chat2
25,scammer_123,2.457013888888889,3, 2, 1,gpt-4-Chat2
26,scammer_124,0.0,2, 1, 1,gpt-4-Chat1
27,scammer_130,2.248576388888889,4, 2, 2,gpt-4-Chat1
28,scammer_135,6.057835648148148,5, 2, 3,gpt-4-Chat2
29,scammer_140,0.0,2, 1, 1,gpt-4-Chat1
30,scammer_142,1.1574074074074073e-05,3, 1, 2,gpt-4-Chat1
31,scammer_144,0.0,2, 1, 1,gpt-4-Chat1
32,scammer_147,0.0,2, 1, 1,gpt-4-Chat1
33,scammer_148,0.0596875,3, 2, 1,gpt-4-Chat2
34,scammer_152,3.0190625,5, 3, 2,gpt-4-Chat2
35,scammer_161,2.1482060185185183,6, 2, 4,gpt-4-Chat1
36,scammer_162,3.6780555555555554,5, 3, 2,gpt-4-Chat1
37,scammer_165,0.4130787037037037,3, 1, 2,gpt-4-Chat1
38,scammer_166,2.384803240740741,4, 2, 2,gpt-4-Chat2
39,scammer_168,0.9345833333333333,4, 3, 1,gpt-4-Chat1
40,scammer_170,0.05623842592592593,3, 2, 1,gpt-4-Chat2
41,scammer_173,2.9854166666666666,5, 2, 3,gpt-4-Chat2
42,scammer_175,0.0,2, 1, 1,gpt-4-Chat1
43,scammer_198,0.4395486111111111,3, 1, 2,gpt-4-Chat2
44,scammer_200,2.3148148148148147e-05,3, 1, 2,gpt-4-Chat1
45,scammer_204,0.0,2, 1, 1,gpt-4-Chat1
46,scammer_207,0.9956828703703704,6, 2, 4,gpt-4-Chat1
47,scammer_210,0.0,2, 1, 1,gpt-4-Chat2
48,scammer_220,0.019097222222222224,3, 2, 1,gpt-4-Chat1
49,scammer_237,4.185775462962963,6, 3, 3,gpt-4-Chat2
50,scammer_246,0.0,2, 1, 1,gpt-4-Chat2
51,scammer_249,0.0,2, 1, 1,gpt-4-Chat2
52,scammer_253,0.0,2, 1, 1,gpt-4-Chat1
53,scammer_254,0.0,2, 1, 1,gpt-4-Chat1
54,scammer_263,0.0,2, 1, 1,gpt-4-Chat2
55,scammer_269,0.0,2, 1, 1,gpt-4-Chat1
56,scammer_271,0.06049768518518518,3, 2, 1,gpt-4-Chat2
57,scammer_275,4.18568287037037,5, 2, 3,gpt-4-Chat1
58,scammer_282,0.0,2, 1, 1,gpt-4-Chat1
59,scammer_285,0.28726851851851853,5, 3, 2,gpt-4-Chat2
60,scammer_300,2.158101851851852,4, 2, 2,gpt-4-Chat1
61,scammer_306,0.0,2, 1, 1,gpt-4-Chat2
62,scammer_313,0.0,3, 1, 2,gpt-4-Chat1
63,scammer_317,3.674166666666667,4, 2, 2,gpt-4-Chat2
64,scammer_325,0.0,2, 1, 1,gpt-4-Chat1
65,scammer_328,0.0,2, 1, 1,gpt-4-Chat2
66,scammer_333,0.0,2, 1, 1,gpt-4-Chat1
67,scammer_344,0.8124305555555555,4, 2, 2,gpt-4-Chat1
68,scammer_345,0.9873263888888889,7, 2, 5,gpt-4-Chat2
69,scammer_358,4.097384259259259,3, 2, 1,gpt-4-Chat2
70,scammer_366,2.4641087962962964,3, 1, 2,gpt-4-Chat2
71,scammer_369,0.0,2, 1, 1,gpt-4-Chat1
72,scammer_379,0.8177199074074074,5, 3, 2,gpt-4-Chat1
73,scammer_383,0.0,2, 1, 1,gpt-4-Chat1
74,scammer_387,0.8446412037037037,4, 2, 2,gpt-4-Chat1
75,scammer_392,2.989837962962963,5, 2, 3,gpt-4-Chat2
76,scammer_393,0.9434259259259259,3, 1, 2,gpt-4-Chat1
77,scammer_407,0.0,2, 1, 1,gpt-4-Chat2
78,scammer_412,0.0,4, 1, 3,gpt-4-Chat2
79,scammer_414,1.3228472222222223,8, 3, 5,gpt-4-Chat2
80,scammer_415,3.154675925925926,10, 4, 6,gpt-4-Chat2
81,scammer_416,3.869837962962963,10, 3, 7,gpt-4-Chat2
82,scammer_420,1.0744791666666667,3, 0, 3,gpt-4-Chat2
83,scammer_421,0.0,2, 1, 1,gpt-4-Chat2
84,scammer_424,0.0,2, 1, 1,gpt-4-Chat2
85,scammer_431,0.0,2, 1, 1,gpt-4-Chat1
86,scammer_433,4.597916666666666,6, 3, 3,gpt-4-Chat1
87,scammer_435,0.022939814814814816,3, 2, 1,gpt-4-Chat2
88,scammer_436,0.0,2, 1, 1,gpt-4-Chat2
89,scammer_437,0.0,2, 1, 1,gpt-4-Chat2
90,scammer_438,0.0,2, 1, 1,gpt-4-Chat2
91,scammer_448,0.49115740740740743,4, 2, 2,gpt-4-Chat2
92,scammer_453,0.0,2, 1, 1,gpt-4-Chat1
93,scammer_458,0.02712962962962963,3, 2, 1,gpt-4-Chat1
94,scammer_462,0.0,2, 1, 1,gpt-4-Chat1
95,scammer_463,0.0,2, 1, 1,gpt-4-Chat2
96,scammer_473,3.1088425925925924,7, 3, 4,gpt-4-Chat2
97,scammer_474,5.800462962962963,4, 0, 4,gpt-4-Chat2
98,scammer_475,1.8393287037037036,6, 3, 3,gpt-4-Chat2
99,scammer_478,1.0708912037037037,3, 2, 1,gpt-4-Chat1
100,scammer_483,2.009664351851852,5, 3, 2,gpt-4-Chat1
101,scammer_490,0.0,2, 1, 1,gpt-4-Chat1
102,scammer_492,0.3360416666666667,4, 1, 3,gpt-4-Chat2
103,scammer_503,0.0,2, 1, 1,gpt-4-Chat1
104,scammer_521,0.0,2, 1, 1,gpt-4-Chat2
105,scammer_522,4.349456018518518,5, 3, 2,gpt-4-Chat1
106,scammer_530,0.0,2, 1, 1,gpt-4-Chat2
107,scammer_531,4.595752314814815,7, 2, 5,gpt-4-Chat1
108,scammer_537,0.0,2, 1, 1,gpt-4-Chat1
109,scammer_542,3.1358333333333333,6, 3, 3,gpt-4-Chat2
110,scammer_548,0.0,2, 1, 1,gpt-4-Chat1
111,scammer_549,0.0,2, 1, 1,gpt-4-Chat2
112,scammer_550,0.0,2, 1, 1,gpt-4-Chat1
113,scammer_551,0.0,2, 1, 1,gpt-4-Chat1
114,scammer_558,2.9183796296296296,3, 2, 1,gpt-4-Chat2
115,scammer_568,0.0,2, 1, 1,gpt-4-Chat2
116,scammer_572,0.0,2, 1, 1,gpt-4-Chat1
117,scammer_573,2.2098726851851853,10, 7, 3,gpt-4-Chat2
118,scammer_576,0.0,2, 1, 1,gpt-4-Chat1
119,scammer_579,3.258425925925926,11, 4, 7,gpt-4-Chat2
120,scammer_587,2.5436921296296298,12, 7, 5,gpt-4-Chat2
121,scammer_591,0.7316435185185185,3, 2, 1,gpt-4-Chat1
122,scammer_613,3.491296296296296,6, 4, 2,gpt-4-Chat1
123,scammer_617,1.8420254629629629,3, 0, 3,gpt-4-Chat2
124,scammer_635,6.188449074074074,6, 2, 4,gpt-4-Chat1
125,scammer_641,0.0,2, 1, 1,gpt-4-Chat2
126,scammer_656,0.8936458333333334,3, 1, 2,gpt-4-Chat1
127,scammer_669,0.24171296296296296,3, 2, 1,gpt-4-Chat2
128,scammer_671,0.7196180555555556,4, 1, 3,gpt-4-Chat2
129,scammer_686,0.4163773148148148,4, 2, 2,gpt-4-Chat2
130,scammer_705,0.000625,3, 1, 2,gpt-4-Chat2
131,scammer_712,0.0,2, 1, 1,gpt-4-Chat1
132,scammer_727,2.430011574074074,5, 2, 3,gpt-4-Chat2
133,scammer_759,0.8698148148148148,5, 3, 2,gpt-4-Chat1
134,scammer_764,0.0,2, 1, 1,gpt-4-Chat2
135,scammer_780,0.0,2, 1, 1,gpt-4-Chat2
136,scammer_786,0.0,2, 1, 1,gpt-4-Chat2
137,scammer_790,3.2213194444444446,4, 1, 3,gpt-4-Chat2
138,scammer_804,0.0,2, 1, 1,gpt-4-Chat2
139,scammer_806,0.8763310185185185,5, 3, 2,gpt-4-Chat2
140,scammer_811,0.014386574074074074,3, 2, 1,gpt-4-Chat2
141,scammer_820,2.158078703703704,7, 3, 4,gpt-4-Chat2
142,scammer_826,0.0,2, 1, 1,gpt-4-Chat1
143,scammer_829,0.032442129629629626,3, 2, 1,gpt-4-Chat2
144,scammer_834,0.0,2, 1, 1,gpt-4-Chat1
145,scammer_863,0.0,2, 1, 1,gpt-4-Chat2
146,scammer_865,3.666875,11, 7, 4,gpt-4-Chat1
147,scammer_886,0.0,2, 1, 1,gpt-4-Chat2
148,scammer_887,1.7982060185185185,14, 11, 3,gpt-4-Chat2
149,scammer_889,1.5652314814814814,9, 5, 4,gpt-4-Chat1
150,scammer_894,1.5811689814814816,6, 2, 4,gpt-4-Chat2
151,scammer_909,4.145347222222222,7, 5, 2,gpt-4-Chat1
152,scammer_910,2.1580902777777777,4, 2, 2,gpt-4-Chat2
153,scammer_911,0.0,2, 1, 1,gpt-4-Chat2
154,scammer_912,0.0,2, 1, 1,gpt-4-Chat2
155,scammer_922,0.0,2, 1, 1,gpt-4-Chat1
156,scammer_923,4.916365740740741,8, 4, 4,gpt-4-Chat2
157,scammer_933,2.117789351851852,3, 0, 3,gpt-4-Chat2
158,scammer_940,4.727627314814815,5, 2, 3,gpt-4-Chat2
159,scammer_948,0.0,2, 1, 1,gpt-4-Chat1
160,scammer_951,0.0,2, 1, 1,gpt-4-Chat2
161,scammer_954,1.794525462962963,4, 3, 1,gpt-4-Chat1
162,scammer_963,0.0,2, 1, 1,gpt-4-Chat2
163,scammer_964,0.0,2, 1, 1,gpt-4-Chat2
164,scammer_966,0.0,2, 1, 1,gpt-4-Chat2
165,scammer_972,3.4809259259259258,12, 5, 7,gpt-4-Chat1
166,scammer_973,0.3993171296296296,4, 1, 3,gpt-4-Chat1
167,scammer_980,0.0,2, 1, 1,gpt-4-Chat2
168,scammer_982,0.0,2, 1, 1,gpt-4-Chat2
169,scammer_1004,0.979212962962963,10, 6, 4,gpt-4-Chat1
170,scammer_1005,0.0,2, 1, 1,gpt-4-Chat1
171,scammer_1008,0.9875347222222223,3, 1, 2,gpt-4-Chat1
172,scammer_1013,3.480960648148148,12, 5, 7,gpt-4-Chat1
173,scammer_1015,1.1667361111111112,3, 1, 2,gpt-4-Chat2
